,Topic,Count,Name,Representation,Representative_Docs
26,25,55,25_discouraged_job_work_goals,"['discouraged', 'job', 'work', 'goals', 'stuck', 'do', 'various', 'lot', 'quote', 'myself']","['i feel a bit discouraged', 'i just feel discouraged', 'i am feeling discouraged it is']"
27,26,55,26_accepted_welcomed_cared_judged,"['accepted', 'welcomed', 'cared', 'judged', 'by', 'loved', 'where', 'people', 'here', 'appreciated']","['i can feel accepted', 'i feel so accepted', 'i feel accepted welcomed']"
28,27,54,27_hopeless_helpless_doomed_hopelessness,"['hopeless', 'helpless', 'doomed', 'hopelessness', 'life', 'sometimes', 'end', 'cannot', 'thing', 'pick']","['i just feel so hopeless sometimes', 'i feel hopeless right', 'im feeling so guilty helpless and hopeless']"
29,28,54,28_stressed_stress_stretching_cards,"['stressed', 'stress', 'stretching', 'cards', 'anxious', 'im', 'less', 'process', 'feeling', 'general']","['i do feel stressed', 'im feeling more stressed', 'i am feeling stressed']"
30,29,53,29_offended_insulted_egyptian_personally,"['offended', 'insulted', 'egyptian', 'personally', 'complimented', 'reply', 're', 'oh', 'intelligence', 'big']","['i often feel offended by life', 'i am feeling a bit offended', 'i feel just insulted']"
31,30,52,30_joyful_happy_joy_happily,"['joyful', 'happy', 'joy', 'happily', 'am', 'today', 'happiness', 'deserve', 'finding', 'well']","['i feel joyful inside', 'i am feeling happy', 'im feeling quite joyful today']"
32,31,50,31_worthless_useless_broken_struggling,"['worthless', 'useless', 'broken', 'struggling', 'utterly', 'ambushed', 'amounting', 'podium', 'preacher', 'overwhelms']","['i feel like im worthless', 'i just feel so useless and utterly worthless', 'i feel useless and worthless']"
33,32,49,32_emotional_cry_weepy_crying,"['emotional', 'cry', 'weepy', 'crying', 'distressed', 'eyes', 'tears', 'suffering', 'overwhelmed', 'haha']","['im still feeling very emotional', 'i feel so emotional today', 'im feeling so emotional today']"
34,33,48,33_festive_christmas_tree_holiday,"['festive', 'christmas', 'tree', 'holiday', 'celebrate', 'celebrated', 'year', 'jolly', 'lights', 'eve']","['im feeling a much more festive with the tree in', 'i put up my christmas tree and im feeling fairly festive', 'i feel festive']"
35,34,48,34_nostalgic_birthday_memories_remember,"['nostalgic', 'birthday', 'memories', 'remember', 'gunong', 'chicago', 'dolls', 'ledang', 'favorite', 'fireplace']","['i am feeling a bit nostalgic today', 'i am feeling a little bit nostalgic', 'i was feeling a little nostalgic']"
36,35,46,35_guilty_remorseful_forgive_within,"['guilty', 'remorseful', 'forgive', 'within', 'hurt', 'allowed', 'forgiven', 'intentionally', 'myself', 'boss']","['i feel guilty after i do these things', 'i stop feeling guilty', 'i feel so guilty']"
37,36,45,36_hated_blah_hateful_wah,"['hated', 'blah', 'hateful', 'wah', 'hate', 'jews', 'deserve', 'disliked', 'friends', 'anybody']","['i understand but i feel like i hated my friends', 'i say that i feel like im hated', 'i feel im being hated']"
38,37,43,37_airport_tourist_flight_horses,"['airport', 'tourist', 'flight', 'horses', 'plane', 'trip', 'tsa', 'station', 'luggage', 'landed']","['i shook it off as we walked into the expansive beijing capital international airport feeling utterly un amused at the prospect of an international transfer in china', 'i got out of my cab at the train station feeling firstly quite convinced that there is definitely more method in the madness of flat planet than i first thought when i visited it the day before and secondly that this had to be one of the scariest telephone interviews i ve ever conducted', 'i seem to see the five years after the chinese pavilion which is the content of the exhibition on immigration but to see the plateau province in this country is treated as one country so i feel very unhappy and i think this is a national tourist attraction they point then why not prudent']"
39,38,40,38_homesick_home_cultural_amsterdam,"['homesick', 'home', 'cultural', 'amsterdam', 'mindset', 'weeks', 'holidays', 'months', 'few', 'th']","['i am feeling pretty homesick this weekend', 'i think i started to feel a little homesick', 'im feeling homesick for him']"
40,39,40,39_exhausted_drained_workout_mentally,"['exhausted', 'drained', 'workout', 'mentally', 'test', 'totally', 'strength', 'physically', 'finish', 'any']","['im feeling exhausted', 'i come home i am usually feel drained and exhausted', 'i do feel drained and totally exhausted today']"
41,40,39,40_caring_carefree_compassionate_care,"['caring', 'carefree', 'compassionate', 'care', 'heartless', 'whats', 'should', 'tomorrow', 'threatened', 'careeeeee']","['i feel when you are a caring person you attract other caring people into your life', 'i feel that will make you even more caring', 'i am feeling really carefree and today was really carefree']"
42,41,39,41_tortured_killing_torture_nowhere,"['tortured', 'killing', 'torture', 'nowhere', 'by', 'feels', 'hands', 'arms', 'death', 'way']","['i know how it feels to be tortured', 'i feel tortured by something', 'i feel so tortured']"
43,42,39,42_gloomy_bit_ng_au,"['gloomy', 'bit', 'ng', 'au', 'bi', 'rainy', 'weve', 'th', 'unless', 'yourself']","['i am feeling a bit gloomy i guess', 'i may feel a bit gloomy', 'im feeling very gloomy']"
44,43,38,43_honored_honoured_award_proud,"['honored', 'honoured', 'award', 'proud', 'part', 'awards', 'nominated', 'public', 'sans', 'opportunity']","['i feel so honored to have been a part of this year', 'i feel honored by it', 'i feel so honored to know all of you']"
45,44,38,44_agitated_getting_start_abruptly,"['agitated', 'getting', 'start', 'abruptly', 'articulacy', 'ewan', 'incoherence', 'brandy', 'forms', 'moping']","['i start to feel agitated', 'im feeling agitated today', 'i still feel so agitated']"
46,45,37,45_weight_pounds_thin_smaller,"['weight', 'pounds', 'thin', 'smaller', 'gained', 'lose', 'lost', 'healthy', 'loss', 'size']","['i really want to be proud to say i ve lost x amount of weight rather than feel discouraged because i m not where i want to be', 'i feel very passionate about healthy life and people who want to lose weight and get fit', 'i also get to feel proud of my weight loss which when completed in a few months time i will have lost around kg which is approx pounds']"
47,46,35,46_hesitant_reluctant_decision_doubtful,"['hesitant', 'reluctant', 'decision', 'doubtful', 'assured', 'uncertain', 'tmr', 'hey', 'say', 'acronym']","['i feel hesitant unsure doubtful of myself', 'i feel hesitant and uncertain sometimes', 'i feel hesitant around it']"
48,47,34,47_talented_player_artist_talent,"['talented', 'player', 'artist', 'talent', 'than', 'enough', 'keeping', 'cohens', 'christine', 'comeback']","['i have a feeling he is much more talented than i am', 'i feel talented sometimes', 'i feel he is talented and good']"
49,48,34,48_jealous_envious_jealousy_envy,"['jealous', 'envious', 'jealousy', 'envy', 'bf', 'stop', 'friend', 'trust', 'they', 'envying']","['i feel jealous with them why they can', 'i can stop feeling jealous', 'i can t help feeling jealous']"
50,49,33,49_write_writing_writer_notebook,"['write', 'writing', 'writer', 'notebook', 'written', 'stopped', 'wrote', 'lousy', 'advancement', 'timer']","['i feel pressured to write because i pressure myself to write or at least that it s just ingrained to do so', 'i stopped writing because people stopped noticing me i was feel like i was ignored so why to write but now i feel i write for myself not for people why should i want be noticeable', 'i was already feeling burdened to write write write']"
51,50,33,50_energetic_more_gym_exercise,"['energetic', 'more', 'gym', 'exercise', 'awake', 'energy', 'lighter', 'focused', 'motivated', 'sleep']","['i am feeling very energetic now', 'im feeling energetic', 'i feel more energetic']"
52,51,33,51_rejected_peers_anyone_mood,"['rejected', 'peers', 'anyone', 'mood', 'relationship', 'expansion', 'confessed', 'persevered', 'subside', 'uncommitted']","['i feel i am a rejected child', 'i feel totally rejected', 'i was feeling rejected and sad']"
53,52,33,52_passionate_about_teaching_strongly,"['passionate', 'about', 'teaching', 'strongly', 'faking', 'accomplishing', 'bashing', 'gw', 'poke', 'professionals']","['i feel most passionate about', 'i feel that passionate about', 'i feel passionate about']"
54,53,33,53_heartbroken_broke_change_heart,"['heartbroken', 'broke', 'change', 'heart', 'him', 'heartless', 'sentimental', 'break', 'never', 'supposed']","['i feel heartbroken and sad', 'i will never feel heartbroken again', 'i feel really heartbroken']"
55,54,32,54_numb_toes_fingers_completely,"['numb', 'toes', 'fingers', 'completely', 'wouldnt', 'creepily', 'ghost', 'leslielandberg', 'jolted', 'strokes']","['i think i still feel numb', 'i feel more of numb now', 'i feel so numb f']"
56,55,32,55_selfish_specific_dumped_being,"['selfish', 'specific', 'dumped', 'being', 'guilt', 'having', 'time', 'unreliable', 'victorious', 'starve']","['i feel selfish but i think it s about time i was', 'i feel like im selfish', 'i feel selfish for it']"
57,56,32,56_melancholy_colons_pity_shouldn,"['melancholy', 'colons', 'pity', 'shouldn', 'sadness', 'birthday', 'school', 'dickinson', 'dash', 'dashes']","['i not feeling as melancholy as i was the other day', 'ive been feeling a bit melancholy', 'i am feeling all melancholy']"
58,57,31,57_anxious_anxiety_drive_blossoming,"['anxious', 'anxiety', 'drive', 'blossoming', 'anxieties', 'clenches', 'doubts', 'pitchers', 'pensive', 'preceptor']","['im feeling pretty anxious', 'i feel a little bit anxious about it', 'im feeling a little anxious']"
59,58,31,58_rude_obnoxious_women_person,"['rude', 'obnoxious', 'women', 'person', 'fuckin', 'their', 'annoying', 'mean', 'who', 'say']","['i just say the things that i want without even thinking what the person would feel its rude right', 'i feel it is rude of me to ask', 'i just feel like its rude']"
60,59,31,59_ashamed_shamed_shame_myself,"['ashamed', 'shamed', 'shame', 'myself', 'horrific', 'ample', 'commons', 'cineworld', 'partying', 'incorrect']","['i do that i feel ashamed of', 'i was ashamed of my family and i was ashamed of myself for feeling ashamed', 'i feel ashamed of you']"
61,60,31,60_delicate_gentle_touch_hand,"['delicate', 'gentle', 'touch', 'hand', 'fingers', 'fingernail', 'searching', 'upon', 'fabric', 'your']","['i want to know feelings i never felt before but will i ever experience your gentle touch again', 'i feel you are so delicate now', 'i feel is very delicate']"
62,61,30,61_supporting_supportive_sympathetic_country,"['supporting', 'supportive', 'sympathetic', 'country', 'us', 'privileged', 'beliefs', 'countries', 'supported', 'position']","['i feel like its about supporting something that you believe in', 'i do not feel like supporting this country however', 'i never feel like im not supporting']"
63,62,30,62_intelligent_smart_fish_becoming,"['intelligent', 'smart', 'fish', 'becoming', 'slytherin', 'enough', 'speak', 'lots', 'estimate', 'consciousness']","['i would estimate that when i speak nepali i feel about as intelligent as when i speak english with german i feel about as intelligent and with spanish i feel about as intelligent', 'i feel like i am not very smart', 'i feel more intelligent and strong']"
64,63,29,63_foolish_stupid_idiotic_dumb,"['foolish', 'stupid', 'idiotic', 'dumb', 'everytime', 'completely', 'hate', 'dan', 'ablo', 'hijacked']","['i feel foolish for thinking this would work', 'i really feel stupid', 'im feeling stupid']"
65,64,29,64_bed_sleeping_sleep_headache,"['bed', 'sleeping', 'sleep', 'headache', 'allergies', 'woke', 'slept', 'favor', 'night', 'nap']","['i woke up with a pounding headache and sore throat and so on top of the fatigue and nausea i feel utterly miserable', 'i still feel sleep deprived she is almost sleeping through the night giving us', 'i also didn t feel very weird sleeping in my bed while the two of them slept in hers']"
66,65,29,65_blank_empty_mind_fill,"['blank', 'empty', 'mind', 'fill', 'bachelorette', 'detached', 'organs', 'idk', 'limbs', 'unused']","['i was left feeling empty', 'i feel even more empty', 'i feel like my mind is blank and empty']"
67,66,29,66_aching_ache_pain_dull,"['aching', 'ache', 'pain', 'dull', 'chest', 'bones', 'foot', 'leg', 'muscle', 'bad']","['i can feel it in my aching bones', 'i feel aching at all times of day', 'i feel it aching in my chest']"
68,67,29,67_lethargic_haze_iron_tranquil,"['lethargic', 'haze', 'iron', 'tranquil', 'full', 'afternoon', 'morning', 'consecutive', 'choccy', 'conscientious']","['im already feeling lethargic', 'im feeling a little lethargic', 'im just feeling so lethargic']"
69,68,29,68_defeated_beaten_fight_stopped,"['defeated', 'beaten', 'fight', 'stopped', 'down', 'wasn', 'prey', 'challenging', 'munroe', 'underestimated']","['i left you i was feeling pretty defeated', 'i still feel defeated', 'i to feel defeated']"
70,69,28,69_nervous_interview_excited_second,"['nervous', 'interview', 'excited', 'second', 'cues', 'bombed', 'jenny', 'crashed', 'compulsory', 'bodypump']","['i still feel nervous', 'i feel very nervous', 'im feeling nervous about it']"
71,70,28,70_needy_need_dislike_flowers,"['needy', 'need', 'dislike', 'flowers', 'hate', 'needing', 'being', 'dependency', 'limes', 'latley']","['i feel very needy', 'i just feel really needy', 'i was just feeling needy']"
72,71,28,71_accident_car_passed_father,"['accident', 'car', 'passed', 'father', 'died', 'wipe', 'relatives', 'sister', 'killed', 'when']","['i came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it my entire front bumper was destroyed', 'when in a car accident where car was total wipe off wipe out', 'when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours']"
73,72,27,72_messy_house_clean_cleaning,"['messy', 'house', 'clean', 'cleaning', 'room', 'keeping', 'closet', 'car', 'mess', 'constantly']","['i feel as messy as my room', 'i feel it would be too messy', 'i feel all messy']"
74,73,27,73_relaxed_more_certainly_water,"['relaxed', 'more', 'certainly', 'water', 'clarke', 'rebooted', 'fireworks', 'carl', 'conveniently', 'breather']","['i am feeling much more relaxed', 'i feel a little more relaxed', 'im feeling more relaxed']"
75,74,27,74_ignored_wronged_wont_dont,"['ignored', 'wronged', 'wont', 'dont', 'whom', 'busy', 'one', 'unloved', 'turn', 'excluded']","['i knew i have this feeling but i ignored it', 'i feel im being ignored', 'i ignored my feelings i ignored myself']"
76,75,27,75_thankful_grateful_husband_blessings,"['thankful', 'grateful', 'husband', 'blessings', 'for', 'moments', 'pets', 'jimmy', 'carson', 'thankfulness']","['i am thankful for my family and i ll write a post on that at some point too but really i just want to feel thankful for my jobs that i have now', 'i didnt feel that i had very much to be thankful for', 'i am feeling very thankful']"
77,76,27,76_greedy_worldly_price_asking,"['greedy', 'worldly', 'price', 'asking', 'hope', 'giveaways', 'idealistic', 'shafted', 'migrate', 'bids']","['i was down feeling greedy and depressed', 'i feel that we are heading for an abyss that has been created by the greedy the too greedy and the far too greedy', 'im feeling greedy for right now']"
78,77,27,77_punished_being_mistake_stood,"['punished', 'being', 'mistake', 'stood', 'years', 'contentment', 'inflicted', 'misbehavior', 'earned', 'chastised']","['i still feel like im being punished', 'i am the one feeling punished', 'i feel like i m the one being punished']"
79,78,27,78_innocent_county_murder_alec,"['innocent', 'county', 'murder', 'alec', 'dire', 'euan', 'irresistable', 'immigrant', 'illegal', 'illustrating']","['i feel innocent and free again', 'i feel your innocent love', 'i feel all innocent now']"
80,79,26,79_respected_respect_men_notions,"['respected', 'respect', 'men', 'notions', 'friend', 'hes', 'women', 'ensuring', 'germans', 'mall']","['i feel so respected and seen', 'i feel respected and such', 'i feel and i think that should be respected']"
81,80,26,80_generous_pushover_give_offering,"['generous', 'pushover', 'give', 'offering', 'sale', 'heres', 'today', 'knows', 'you', 'scoop']","['im feeling generous this week', 'i feel is he generous', 'i like you and im feeling generous']"
82,81,26,81_buy_customer_shopping_shop,"['buy', 'customer', 'shopping', 'shop', 'consumers', 'envelope', 'gas', 'purchase', 'conscious', 'cash']","['i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more', 'i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared', 'i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared']"
83,82,26,82_shaky_managed_heart_cups,"['shaky', 'managed', 'heart', 'cups', 'battering', 'caffeined', 'gatorade', 'destruction', 'feverish', 'intolerably']","['i am feeling very shaky today', 'i even feel a little shaky', 'i am feeling very shaky']"
84,83,25,83_mellow_shower_window_listening,"['mellow', 'shower', 'window', 'listening', 'normal', 'external', 'fertile', 'lib', 'stinky', 'norah']","['i feel mellow content', 'i feel a little mellow today', 'im not feeling mellow']"
85,84,25,84_inspired_inspiration_write_fashioned,"['inspired', 'inspiration', 'write', 'fashioned', 'occupy', 'illustrations', 'uplifted', 'martinez', 'simplicity', 'prestige']","['i want to feel inspired on the job', 'i don t feel particularly inspired', 'i feel really inspired']"
86,85,25,85_chest_boring_straight_entertained,"['chest', 'boring', 'straight', 'entertained', 'dull', 'keep', 'cliche', 'boredom', 'outrageous', 'maps']","['i feeling boring', 'im feeling boring', 'i feel ignored i feel this boredom like a little sword straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my']"
87,86,25,86_listless_cuddle_list_today,"['listless', 'cuddle', 'list', 'today', 'deflated', 'achy', 'blahness', 'aiiiiighhhht', 'rather', 'listener']","['im feeling very listless', 'i feel all listless', 'i just feel so listless']"
88,87,24,87_regretful_regret_baltimore_oakland,"['regretful', 'regret', 'baltimore', 'oakland', 'presentation', 'cop', 'senior', 'smoking', 'accomplish', 'wont']","['i wont feel regretful', 'i feel so regretful not going but', 'i do that i d feel regretful']"
89,88,23,88_humiliated_voice_by_whenever,"['humiliated', 'voice', 'by', 'whenever', 'hate', 'knowledgeable', 'trigger', 'request', 'ra', 'stammer']","['i cant help but feel a little humiliated', 'i didnt feel humiliated', 'i always feel humiliated']"
90,89,23,89_groggy_night_morning_still,"['groggy', 'night', 'morning', 'still', 'day', 'sleep', 'got', 'late', 'replenish', 'transform']","['ive been feeling groggy the whole day', 'i made it to work but i am feeling a little groggy', 'i think i am still feeling a little groggy from that']"
91,90,23,90_low_highs_mooching_demotivated,"['low', 'highs', 'mooching', 'demotivated', 'lowest', 'excruciating', 'abdomen', 'exception', 'disney', 'thousand']","['i feel a bit low', 'i was feeling so low about myself', 'i feel really low']"
92,91,23,91_alone_hate_percentage_wacky,"['alone', 'hate', 'percentage', 'wacky', 'marginalized', 'crawl', 'beliefs', 'scary', 'surrounded', 'facing']","['i feel less alone', 'i hate feeling alone', 'i feel like i am not alone']"
93,92,23,92_rich_record_status_shop,"['rich', 'record', 'status', 'shop', 'accurate', 'easel', 'donated', 'payoff', 'goldschlager', 'reinforces']","['i was feeling and how rich we are', 'i feel very rich today', 'i feel rich in it']"
94,93,23,93_dissatisfied_search_stopped_telegram,"['dissatisfied', 'search', 'stopped', 'telegram', 'compromised', 'solutions', 'spacy', 'berate', 'fob', 'accustomed']","['i feel very dissatisfied with myself', 'im feeling a little dissatisfied', 'i still feel dissatisfied']"
95,94,23,94_cranky_morning_crampy_updating,"['cranky', 'morning', 'crampy', 'updating', 'nose', 'blowing', 'bah', 'stopping', 'warning', 'doctors']","['i feel so cranky right now', 'im feeling a bit cranky today', 'im feeling cranky']"
96,95,22,95_blessed_hello_easy_given,"['blessed', 'hello', 'easy', 'given', 'albino', 'publicly', 'contagious', 'libido', 'mulatto', 'wears']","['i feel blessed that i am free to be me', 'i just keep on feeling blessed', 'i feel blessed beyond blessed to share my life with you each week']"
97,96,22,96_groups_group_talkative_social,"['groups', 'group', 'talkative', 'social', 'talk', 'crowd', 'situation', 'll', 'people', 'awkward']","['i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet', 'im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with', 'i do feel apprehensive before meeting someone new particularly in a group situation but i just sign up for everything i can and hope that i ll have found the courage to do it by the time it comes round and i always have so far']"
98,97,22,97_shy_momo_english_her,"['shy', 'momo', 'english', 'her', 'gt', 'alway', 'bugging', 'billion', 'french', 'mastered']","['im feeling shy im feeling mad im feeling sad', 'i knowing that to this day still makes her feel not shy', 'i feel pretty shy right now and i dont know why']"
99,98,22,98_dream_dreams_nightmare_infuriated,"['dream', 'dreams', 'nightmare', 'infuriated', 'awake', 'woke', 'sharing', 'shaken', 'disturbed', 'everybodys']","['i kept waking up and feeling glad the dream was over then i would fall back asleep only to the dream continuing', 'i had a dream in which i was infuriated with my husband and so i woke up feeling infuriated with him but unfortunately a i couldnt remember the substance of the dream so i couldnt adequately express myself and b it was just a stupid dream', 'i woke up feeling amazed and then i realized that a dream is still a dream']"
100,99,22,99_awkward_anyone_hang_kith,"['awkward', 'anyone', 'hang', 'kith', 'strain', 'zayne', 'silences', 'microcosm', 'luh', 'baring']","['i always feel awkward', 'i feel very awkward', 'i just feel so awkward and i know i am awkward with them']"
